GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2025-10-09,10:00 PM,,Vegas Golden Knights,3,4,L,OT,0,0,1,L 1,17435,2:37,
2,2025-10-11,10:00 PM,,Anaheim Ducks,6,7,L,OT,0,0,2,L 2,17435,2:34,
3,2025-10-14,10:00 PM,,Carolina Hurricanes,1,5,L,,0,1,2,L 3,12786,2:28,
4,2025-10-17,9:00 PM,@,Utah Mammoth,3,6,L,,0,2,2,L 4,12478,2:23,
5,2025-10-18,10:00 PM,,Pittsburgh Penguins,0,3,L,,0,3,2,L 5,17435,2:15,
6,2025-10-21,7:00 PM,@,New York Islanders,3,4,L,,0,4,2,L 6,15832,2:36,
7,2025-10-23,7:00 PM,@,New York Rangers,6,5,W,OT,1,4,2,W 1,18006,2:37,
8,2025-10-24,7:00 PM,@,New Jersey Devils,1,3,L,,1,5,2,L 1,16514,2:28,
9,2025-10-26,6:00 PM,@,Minnesota Wild,6,5,W,OT,2,5,2,W 1,17101,2:36,
10,2025-10-28,11:00 PM,,Los Angeles Kings,3,4,L,,2,6,2,L 1,12804,2:23,
11,2025-10-30,10:00 PM,,New Jersey Devils,5,2,W,,3,6,2,W 1,12930,2:25,
12,2025-11-01,4:00 PM,,Colorado Avalanche,3,2,W,OT,4,6,2,W 2,16406,2:37,
13,2025-11-02,8:00 PM,,Detroit Red Wings,2,3,L,SO,4,6,3,L 1,14876,2:39,
14,2025-11-05,10:00 PM,@,Seattle Kraken,6,1,W,,5,6,3,W 1,17151,2:20,
15,2025-11-07,10:00 PM,,Winnipeg Jets,,,,,,,,,,,
16,2025-11-08,10:00 PM,,Florida Panthers,,,,,,,,,,,
17,2025-11-11,8:00 PM,@,Minnesota Wild,,,,,,,,,,,
18,2025-11-13,9:00 PM,@,Calgary Flames,,,,,,,,,,,
19,2025-11-15,10:00 PM,@,Seattle Kraken,,,,,,,,,,,
20,2025-11-18,10:00 PM,,Utah Mammoth,,,,,,,,,,,
21,2025-11-20,10:00 PM,,Los Angeles Kings,,,,,,,,,,,
22,2025-11-22,7:00 PM,,Ottawa Senators,,,,,,,,,,,
23,2025-11-23,8:00 PM,,Boston Bruins,,,,,,,,,,,
24,2025-11-26,9:00 PM,@,Colorado Avalanche,,,,,,,,,,,
25,2025-11-28,4:00 PM,,Vancouver Canucks,,,,,,,,,,,
26,2025-11-29,10:00 PM,@,Vegas Golden Knights,,,,,,,,,,,
27,2025-12-01,10:00 PM,,Utah Mammoth,,,,,,,,,,,
28,2025-12-03,10:00 PM,,Washington Capitals,,,,,,,,,,,
29,2025-12-05,8:00 PM,@,Dallas Stars,,,,,,,,,,,
30,2025-12-07,5:00 PM,@,Carolina Hurricanes,,,,,,,,,,,
31,2025-12-09,7:00 PM,@,Philadelphia Flyers,,,,,,,,,,,
32,2025-12-11,7:00 PM,@,Toronto Maple Leafs,,,,,,,,,,,
33,2025-12-13,3:00 PM,@,Pittsburgh Penguins,,,,,,,,,,,
34,2025-12-16,10:00 PM,,Calgary Flames,,,,,,,,,,,
35,2025-12-18,10:00 PM,,Dallas Stars,,,,,,,,,,,
36,2025-12-20,10:00 PM,,Seattle Kraken,,,,,,,,,,,
37,2025-12-23,10:00 PM,@,Vegas Golden Knights,,,,,,,,,,,
38,2025-12-27,10:00 PM,@,Vancouver Canucks,,,,,,,,,,,
39,2025-12-29,10:00 PM,@,Anaheim Ducks,,,,,,,,,,,
40,2025-12-31,4:00 PM,,Minnesota Wild,,,,,,,,,,,
41,2026-01-03,4:00 PM,,Tampa Bay Lightning,,,,,,,,,,,
42,2026-01-06,10:00 PM,,Columbus Blue Jackets,,,,,,,,,,,
43,2026-01-07,10:30 PM,@,Los Angeles Kings,,,,,,,,,,,
44,2026-01-10,4:00 PM,,Dallas Stars,,,,,,,,,,,
45,2026-01-11,8:00 PM,,Vegas Golden Knights,,,,,,,,,,,
46,2026-01-15,7:00 PM,@,Washington Capitals,,,,,,,,,,,
47,2026-01-16,7:00 PM,@,Detroit Red Wings,,,,,,,,,,,
48,2026-01-19,7:00 PM,@,Florida Panthers,,,,,,,,,,,
49,2026-01-20,7:00 PM,@,Tampa Bay Lightning,,,,,,,,,,,
50,2026-01-23,10:00 PM,,New York Rangers,,,,,,,,,,,
