Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Macklin Celebrini,19,F,14,8,13,21,4,8,6,2,0,1,8,5,0,40,20.0,79,293:18,20:57,126,127,49.8,9,10,6,18,,celebma01
2,Will Smith,20,C,14,5,8,13,6,8,5,0,0,1,5,3,0,28,17.9,62,252:56,18:04,2,11,15.4,6,6,1,15,,smithwi01
3,William Eklund,23,LW,12,5,6,11,-5,2,3,2,0,0,3,3,0,31,16.1,64,237:59,19:50,0,4,0.0,10,8,3,14,,eklunwi01
4,Dmitry Orlov,34,D,14,0,10,10,-1,14,0,0,0,0,6,4,0,21,0.0,38,315:48,22:33,0,0,,18,24,4,22,,orlovdm01
5,Alexander Wennberg,31,C,14,3,6,9,-3,0,2,1,0,1,4,2,0,13,23.1,24,290:14,20:44,101,113,47.2,19,3,6,16,,wennbal01
6,Tyler Toffoli,33,C,14,5,4,9,3,2,3,2,0,0,4,0,0,33,15.2,70,240:07,17:09,1,3,25.0,10,11,2,11,,toffoty01
7,Philipp Kurashev,26,C,12,5,4,9,5,2,5,0,0,1,4,0,0,26,19.2,44,214:33,17:53,11,9,55.0,5,12,4,13,,kurasph01
8,Jeff Skinner,33,LW,13,4,3,7,-4,4,4,0,0,0,2,1,0,24,16.7,47,170:54,13:09,2,6,25.0,3,5,2,13,,skinnje01
9,Ty Dellandrea,25,C,14,1,5,6,-3,4,0,0,1,0,4,0,1,11,9.1,21,189:16,13:31,80,72,52.6,10,31,3,7,,dellaty01
10,John Klingberg,33,D,8,2,3,5,0,4,0,2,0,0,2,1,0,12,16.7,26,166:21,20:48,0,0,,9,10,1,9,,klingjo01
11,Collin Graf,23,F,13,1,3,4,-2,0,0,0,1,0,2,0,1,9,11.1,20,187:57,14:27,1,1,50.0,8,16,4,9,,grafco01
12,Shakir Mukhamadullin,24,D,5,0,4,4,5,6,0,0,0,0,4,0,0,5,0.0,9,81:48,16:22,0,0,,5,3,0,3,,mukhash01
13,Adam Gaudette,29,C,10,3,1,4,-4,8,2,1,0,0,1,0,0,14,21.4,26,109:21,10:56,26,22,54.2,0,7,3,4,,gaudead01
14,Mario Ferraro,27,D,14,1,3,4,0,2,1,0,0,0,3,0,0,15,6.7,36,290:00,20:43,0,0,,35,26,7,17,,ferrama01
15,Timothy Liljegren,26,D,11,0,3,3,-1,6,0,0,0,0,3,0,0,8,0.0,30,227:19,20:40,0,0,,22,13,1,13,,liljeti01
16,Michael Misa,18,F,7,1,2,3,-1,2,1,0,0,0,2,0,0,13,7.7,22,82:10,11:44,20,18,52.6,5,2,0,5,,misami01
17,Nick Leddy,34,D,7,0,2,2,-4,4,0,0,0,0,2,0,0,1,0.0,4,120:23,17:12,0,0,,10,2,4,4,,leddyni01
18,Ryan Reaves,39,RW,10,2,0,2,-3,10,2,0,0,0,0,0,0,6,33.3,10,67:06,6:43,0,0,,1,37,1,2,,reavery01
19,Barclay Goodrow,32,RW,14,0,1,1,-4,0,0,0,0,0,1,0,0,12,0.0,19,162:33,11:37,3,5,37.5,10,20,2,7,,goodrba01
20,Patrick Giles,26,F,3,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,5,26:36,8:52,9,6,60.0,2,3,0,1,,gilespa01
21,Alex Nedeljkovic,30,G,6,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,365:10,60:52,0,0,,0,0,0,5,,nedelal01
22,Sam Dickinson,19,D,11,1,0,1,-1,6,1,0,0,0,0,0,0,13,7.7,24,159:25,14:30,0,0,,7,7,4,11,,dickisa01
23,Vincent Desharnais,29,D,10,0,1,1,-1,16,0,0,0,0,1,0,0,7,0.0,17,159:21,15:56,0,0,,18,15,0,7,,deshavi01
24,Ethan Cardwell,23,RW,2,1,0,1,1,2,1,0,0,1,0,0,0,2,50.0,6,27:19,13:40,0,0,,0,3,0,0,,cardwet01
25,Vincent Iorio,23,D,6,0,0,0,-3,4,0,0,0,0,0,0,0,3,0.0,4,98:00,16:20,0,0,,6,3,0,7,,ioriovi01
26,Yaroslav Askarov,23,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,479:44,59:58,0,0,,0,0,0,4,,askarya01
